지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi)
90,속초,2020-03-10,7.6,5,2205,10.1,250
90,속초,2020-03-11,6.3,2.2,518,10.5,1449
90,속초,2020-03-12,10.8,4.1,217,17,1526
90,속초,2020-03-13,6.8,.7,2255,11.9,1011
90,속초,2020-03-14,5.6,-.6,532,11.7,1427
90,속초,2020-03-15,4.8,.5,2205,9,1154
90,속초,2020-03-16,5.1,0,723,8.7,1405
90,속초,2020-03-17,8.6,4,228,11.8,1541
90,속초,2020-03-18,12.9,5.5,655,18.3,1335
90,속초,2020-03-19,11.6,6.9,2338,17.1,727
90,속초,2020-03-20,11.3,5.6,627,17.4,1411
90,속초,2020-03-21,12.2,8.7,2322,17.5,1318
90,속초,2020-03-22,9.5,4.9,2307,13,1344
90,속초,2020-03-23,8.5,3.9,2324,12.9,959
90,속초,2020-03-24,8.3,3.2,203,13.3,1211
90,속초,2020-03-25,9.3,4,212,13.7,1453
90,속초,2020-03-26,13.2,6.8,302,19.3,1355
90,속초,2020-03-27,8.1,4.1,2354,14.1,338
90,속초,2020-03-28,5.2,.3,2338,7.9,1447
90,속초,2020-03-29,6.6,.4,1,11.2,1307
90,속초,2020-03-30,8.4,2,607,14,1452
90,속초,2020-03-31,10.6,4.4,401,15.8,1424
90,속초,2020-04-01,9.1,3.3,2400,13.9,248
90,속초,2020-04-02,12,2.6,452,18.4,1416
90,속초,2020-04-03,15.4,8.4,603,20.8,1359
90,속초,2020-04-04,8.4,4.6,2048,13,17
90,속초,2020-04-05,6.6,.9,314,11.8,1407
90,속초,2020-04-06,10.9,3.6,1,14.7,1506
90,속초,2020-04-07,12.5,9,2343,18.5,1146
90,속초,2020-04-08,7.4,3.4,2359,10.7,1628
90,속초,2020-04-09,7.9,3.3,600,11.3,1357
90,속초,2020-04-10,8.4,3.2,536,13.8,1216
90,속초,2020-04-11,10.1,4,257,15.4,1107
90,속초,2020-04-12,9.5,7.2,2330,11.8,238
90,속초,2020-04-13,9.5,5,511,13.8,1555
90,속초,2020-04-14,16.5,7.5,234,23.7,1324
90,속초,2020-04-15,13.5,8.1,2211,20.3,903
90,속초,2020-04-16,11.2,6.7,544,15,1440
90,속초,2020-04-17,11.7,9.1,414,13.6,1747
90,속초,2020-04-18,10.4,7.5,205,13.2,1452
90,속초,2020-04-19,9.7,6.4,609,13,1336
90,속초,2020-04-20,10.8,7.1,431,16.2,1541
90,속초,2020-04-21,8.7,5.1,2346,14,1350
90,속초,2020-04-22,7.8,4.5,553,12.1,1425
90,속초,2020-04-23,9.1,5,509,14.9,1424
90,속초,2020-04-24,12.8,6.5,420,18,1447
90,속초,2020-04-25,15.7,11.2,2321,22.7,1403
90,속초,2020-04-26,10.5,8.3,2349,14,1354
90,속초,2020-04-27,10.2,6.5,224,13.9,1710
